Names,Rent identity
1913 Mack Plz,"['$2,250 ']"
1916 Cornell Ln,"['$2,400 ']"
"2 br, 1 bath House - 2109 N Elm St","['$1,695 ']"
"2 br, 2.5 bath House - 929 Hickory St. # 17","['$1,700 ']"
2000 Lee Dr,"['$1,895 ']"
2006 Lee Dr,"['$1,800 ']"
205 E Windsor Dr,"['$1,850 ']"
2104 Moonsail Ln,"['$2,675 ']"
216 Bluebird Cir,"['$1,800 ']"
216 Maple St,"['$1,250 ']"
2160 Crockett Dr,"['$3,081 ']"
218 N Texas Blvd Unit 309,"['$1,500 ']"
2202 Barton Springs Dr,"['$2,100 ']"
2217 Lookout Ln,"['$2,000 ']"
2221 Greystone Dr,"['$2,300 ']"
2239 Berniece Jones Rd Unit 1,"['$2,400 ']"
2309 Vanderbilt Ct,"['$1,595 ']"
2310 Birchbrook Ct,"['$2,000 ']"
2324 Northway,"['$2,099 ']"
2420 Louise St Unit 1,"['$1,175 ']"
2421 Wildwood Lane,"['$1,995 ']"
2425 Denison St,"['$1,695 ']"
2425 Louise St,['$950 ']
2425 louise St Unit 1,['$950 ']
2428 W Prairie St,['$730 ']
2512 Rugby Ln,"['$1,950 ']"
2521 Champlain Ln,"['$3,800 ']"
2601 Stone Mantle Ln,"['$3,099 ']"
2609 Pinto Dr,"['$2,500 ' '$2,520 ']"
2628 Fondren Rd,"['$1,925 ']"
2704 CDMX,"['$970 - $2,276']"
2708 Weslayan Dr,"['$2,450 ']"
2716 Moncayo Dr,"['$2,100 ']"
2801 Royal Acres Dr,"['$2,199 ']"
2929 Wycliff,"['$2,070 - $6,296' '$1,519 - $2,740']"
"3 br, 2 bath House - 1208 Tulane Drive","['$1,850 ']"
"3 br, 2 bath House - 1917 Fordham Lane","['$1,850 ']"
"3 br, 2 bath House - 408 Mimosa Dr","['$2,500 ']"
"3 br, 3 bath House - 2616 Arabian","['$2,395 ']"
3000 Montebello Drive,"['$2,650 ']"
3004 Penniman Rd,"['$2,005 ']"
3009 Barnes Dr,"['$2,345 ']"
3025 Montclair Pl,"['$1,885 ']"
304 Wilson Way,"['$2,300 ']"
308 Moss Cove Dr,"['$2,700 ']"
3108 Union Lake Rd,"['$2,300 ']"
3112 Blue Jay Dr,"['$2,495 ']"
3113 Lighthouse Dr,"['$2,155 ']"
312 Foxwood Cir,"['$2,020 ']"
313 Denton St E,"['$2,750 ']"
317 Tripp Trail,"['$2,450 ']"
32hundred Windsor,"['$1,395 - $2,965']"
3301 Doris Dr,"['$2,710 ']"
3312 Daniel Ave,"['$1,795 ']"
3313 Gardenview Cir,"['$1,575 ']"
3316 Sunnydale Ln,"['$1,695 ']"
"3325 Bent Creek Dr, Denton","['$2,125 ']"
3409 Cricket Dr,"['$2,000 ']"
3505 Lipizzan Dr,"['$2,245 ']"
3520 Brentwood Dr,"['$2,280 ']"
3525 Normandy,"['$8,300 ']"
3529 Camino Real Trail,"['$2,000 ']"
3600 Lakeview Blvd,"['$4,000 ']"
3608 Marianne Cir,"['$3,200 ' '$3,200 ']"
3616 Doris Dr,"['$2,480 ']"
3616 Jackson Hollow,"['$2,850 ']"
3700M,"['$2,075 - $4,567']"
3713 Camino Real Trail,"['$2,100 ']"
3725 Logan Dr,"['$2,400 ']"
3800 Titan Trail,"['$1,595 ']"
3908 Windy Point Dr,"['$2,745 ']"
3914 Winston Dr,"['$2,410 ']"
3917 Madison Ln,"['$2,980 ']"
3920 Winston Dr,"['$2,200 ']"
3925 N Elm St Unit 4 - 4210.1205506,"['$2,422 ']"
3925 N Elm St Unit 4 - 4304.916014,"['$2,055 ']"
"4 br, 2 bath House - 1907 Whippoorwill Ln","['$1,999 ']"
"4 br, 2.5 bath Duplex - Galante Townhomes ...","['$2,295 ']"
400 Lakeview Blvd Unit B,"['$1,700 ']"
400 North Ervay,"['$1,620 - $3,990']"
4005 Madison Ln,"['$2,980 ']"
403 Bryan St Unit 107,['$950 ']
404 Industrial Park,"['$1,145 - $1,795']"
405 Hogan Dr,"['$2,800 ']"
406 W Highland St,"['$1,250 ']"
4060 Preferred Place,"['$955 - $1,340']"
4110 Fairmount,"['$1,337 - $6,169']"
4123 Cedar Springs,"['$1,501 - $3,184']"
415 N Ruddell St,"['$1,850 ']"
4304 Lost Creek Rd,"['$2,300 ']"
4308 Vinyard Way,"['$2,495 ']"
4500 Lacewood Dr,"['$2,500 ']"
4501 Claret Ct,"['$1,995 ']"
4520 Shagbark Dr,"['$2,400 ']"
4525 Teasley Ln,"['$2,800 ']"
4600 Hammerstein Blvd,"['$3,295 ' '$3,295 ']"
4600 Ross,"['$1,392 - $6,473']"
46Eleven Apartments,"['$1,305 - $1,385']"
4701 Beaver Creek Ave,"['$2,429 ']"
4713 Fox Sedge Ln,"['$2,200 ']"
4912 Gaston,"['$1,250 - $1,545']"
5 Mockingbird Apartments,"['$1,440 - $5,517']"
5004 Stillhouse Hollow Ln,"['$3,500 ']"
5005 San Jacinto,"['$1,200 - $1,600']"
5017 Spyglass Ln,"['$2,850 ']"
5049 Golden Cir,"['$3,750 ']"
5301 Tartan Cir,"['$2,400 ']"
5304 Whiting Way,"['$2,095 ']"
5312 Sea Cove Ln,"['$2,250 ']"
5403 Green Ivy Rd,"['$2,200 ']"
5408 Del Rey Dr,"['$1,950 ']"
5409 Pagewood Dr,"['$2,595 ']"
5417 Galante Ln,"['$2,150 ']"
5425 Dolores Pl,"['$2,000 ']"
5521 Dolores Pl,"['$2,000 ']"
555 Ross,"['$1,469 - $2,428']"
5604 Parkplace Dr,"['$2,695 ']"
5817 Marsh Rail Dr,"['$2,250 ']"
6005 English Saddle Ln,"['$2,545 ']"
601 Bolivar St,"['$1,795 ']"
6112 Moor Hen Drive,"['$1,920 ']"
612 London place,"['$999 ' '$1,250 ']"
6212 Thoroughbred Trail,"['$2,400 ']"
627 Woodland St,"['$2,850 ']"
6287 Pockrus Page Rd,"['$1,195 ']"
6289 Desert Holly Way,"['$2,400 ']"
6428 Meandering Creek Dr,"['$2,800 ']"
6709 Roaring Creek,"['$2,645 ']"
700 Cypress St,"['$1,550 ']"
716 Ticonderoga Dr,"['$2,568 ' '$2,568 ']"
718 Frame St,"['$1,900 ']"
721 Alexander St,"['$1,695 ']"
7713 Settlement Dr,"['$1,950 ']"
7900 at Park Central,"['$1,635 - $5,125' '$1,162 - $2,513']"
801 LasCo,"['$1,700 - $7,153' '$1,683 - $7,153']"
808 Oak Valley,"['$2,095 ']"
820 Rose St,"['$1,895 ']"
828 Abbots Ln,"['$2,500 ']"
8308 Swan Park Dr,"['$1,945 ']"
8605 Mild Creek Ln,"['$1,995 ']"
8708 Seven Oaks Ln,"['$1,900 ']"
8744 Dayton Dr,"['$3,050 ']"
880 LYN,"['$1,551 - $4,425' '$1,551 - $4,425']"
904 Duncan St,"['$1,900 ']"
904 Summer Stream Rd,"['$2,300 ']"
904 W Oak St,"['$3,000 ']"
905 Summer Stream Rd,"['$1,999 ']"
929 W Hickory St Unit A-11,"['$1,550 ']"
930 Montgomery Way,"['$3,000 ']"
9505 Toledo Bend Dr,"['$2,500 ']"
9512 Lindenwood Trail,"['$3,000 ']"
9517 Meadowpark Dr,"['$2,600 ']"
98Fifty,"['$1,025 - $1,130' '$823 - $2,002']"
9944 on Walnut,"['$1,025 - $1,100']"
ALARA Uptown Luxury Apartments,"['$1,641 - $4,099']"
AMLI Addison,"['$1,643 - $3,771']"
AMLI Campion Trail,"['$1,515 - $3,015']"
AMLI Fountain Place,"['$2,301 - $6,852' '$1,178 - $1,865' '$2,301 - $6,852']"
AMLI Las Colinas,"['$1,581 - $3,354']"
AMLI on Riverside,"['$1,623 - $3,364']"
AVA Apartments,"['$1,010 - $1,550']"
AVANT on Market Center,"['$1,454 - $2,831']"
Ablon at Harbor Village,"['$1,534 - $3,154' '$1,534 - $3,154']"
Abstract at Design District,"['$1,440 - $3,317' '$1,415 - $2,775' '$1,415 - $2,775' '$1,435 - $3,317']"
Across The Street Apartments,"['$700 - $1,125']"
Adair Off Addison,"['?' '$1,104 - $1,860']"
Addison Keller Springs,"['$1,426 - $2,689']"
Adira,"['$940 - $1,345']"
Alders at Rockwall,"['$2,094 ']"
Alena Apartments,"['$1,087 - $1,874']"
Alesio Urban Center,"['$1,005 - $5,135']"
Alexan Lower Greenville,"['$1,745 - $4,480']"
Alexander Court (old),"['$1,300 - $1,650']"
Allora Denton,"['$1,380 - $2,020']"
Allure North Dallas,"['$1,118 - $2,229']"
Alto Highland Park,"['$2,331 - $16,248']"
Alton,"['$2,160 - $12,935']"
Ambrose,"['$1,332 - $2,930' '$1,429 - $2,429']"
Andalusian Gate,"['$1,320 - $2,330']"
Anthem Valley Ranch,"['$1,435 - $3,580']"
Apartments at M-Streets,"['$1,045 - $1,580']"
Apartments at the Sound,"['$1,700 - $10,741']"
Apex,"['$1,532 - $2,696']"
Arbors of Denton,"['$619 - $1,274']"
Archer Medical District,"['$1,230 - $3,120' '$1,200 - $2,405']"
Ardan,"['$2,254 - $6,918']"
Arpeggio Apartments,"['$1,096 - $1,654' '$1,670 - $3,825']"
Arrive West End,"['$1,630 - $2,400']"
Arrive on University,"['$1,590 - $2,885']"
Ascent Victory Park,"['$2,354 - $16,781']"
Ascent at Midtown(old),"['?' '$899 - $1,199']"
Ash at the Branch,"['$1,610 - $5,225']"
Ashwood Park Apartments,"['$889 - $1,559']"
Aspen Creek,"['$956 - $2,350']"
Aspen at Mercer Crossing,"['$1,479 - $4,961']"
Aspire Apartments,"['$1,064 - $1,264']"
Aster,"['$2,555 - $15,639']"
Atelier,"['$1,850 - $14,855' '$759 - $1,264' '$1,850 - $14,855']"
Atera Apartments,"['$1,297 - $3,159']"
"Atlas Point at Prestonwood, 55+ Apartments","['$1,205 - $3,005']"
Avalon 8801,"['$1,594 - $1,928']"
Aventine at Kessler,"['$1,190 - $1,620']"
Avondale Parc @ Bellmar,"['$920 - $1,765']"
Axis 3700 Apartments,"['$1,510 - $3,630']"
Axis Kessler Park,"['$1,535 - $3,445']"
Azure Urban Living,"['$935 - $1,325']"
BENT TREE TRAILS,"['$1,295 - $2,050']"
Bachman Place,"['$1,098 - $1,410']"
Bahama Glen Apartments,"['$875 - $1,410']"
Bandera at Preston Hollow,"['$1,836 - $4,592' '$831' '$1,836 - $4,592']"
Beall Way,"['$2,005 - $2,268']"
Bel Air on Maple,"['$950 - $1,525']"
Bell Katy Trail,"['$1,585 - $4,132']"
Bell Knox District,"['$1,795 - $4,793']"
Bella Vida,"['$1,091 - $1,437']"
Bella Vista Creek,"['?' '$780 - $1,128']"
Bella Vista Pointe Apartments,"['?' '$785 - $1,400']"
Bella Vista Sol,"['$850 - $1,350']"
Bellrock Bishop Arts,"['$1,881 - $3,368']"
Belmont at Duck Creek,"['$1,339 - $2,120']"
Bent Oaks Apartments,['Call for Rent']
Bent Tree Apartments,"['$1,000 - $1,300']"
Bent Tree Park Apartments,"['$985 - $1,715']"
Berkshire Medical District,"['$1,399 - $2,422']"
Birch Apartment Homes,"['$915 - $2,659']"
Birchwood Apartment Homes,"['$878 - $1,465']"
Bishop Highline,"['$1,399 - $2,504']"
Bluffs at Lakewood,"['$1,095 - $2,189']"
Bluffs at Midway Hollow,"['$1,302 - $3,526']"
Boardwalk at Mercer Crossing,"['$1,470 - $3,438']"
Bonnie Green Apartments,"['$850 - $1,100']"
Bosque Estates Apartments,"['$1,015 - $1,975']"
Brady,"['$2,235 - $11,520']"
Brick Row Apartments,"['$1,315 - $3,005']"
Bridgeport,"['$1,072 - $1,856']"
Bridges at Deer Run,"['$1,077 - $2,120']"
Bristol Apartment Living,"['$1,230 - $2,532']"
Broadway Apartments,"['$955 - $1,425']"
Brooklyn @ 9670,"['$795 - $1,479']"
Buckner Park Lofts,['Call for Rent']
Buena Vista Estates Apartments,"['$920 - $1,490' '$935 - $1,075']"
Butler Brothers Building,['Call for Rent']
"CDI Crow, LLC","['$2,800 ']"
CITY NORTH,"['$1,270 - $2,247']"
Camino Del Sol Apartment Homes,"['$971 - $1,898']"
Canopy at South Lakes,"['$1,265 - $3,069']"
Cantera Crossing,"['$785 - $1,400' '$1,040 - $1,822']"
Canvas at Denton,"['$2,110 - $3,850']"
Carillon Apartments,"['$890 - $2,002']"
Carlisle On The Katy Trail,"['$815 - $1,900']"
Carlisle and Vine,"['$1,843 - $9,799']"
Carolyn,"['$1,720 - $2,805']"
Carrara at Cole,"['$1,350 - $1,750' '$967 - $1,701' '$1,768 - $3,093']"
Carrollton Park Of North Dallas,"['$1,285 - $2,271']"
Casa De Loma Apartments,"['$855 - $1,625']"
Casa Luna Apartments,"['$900 - $1,305']"
Casa Pacifica Apartments,"['$951 - $2,060']"
Casa Tremont,"['$1,050 ']"
Casa Valencia,"['$1,040 - $1,822']"
Casa View Apartments,['?']
Cedar Crossing,['?']
Cedar Glen South,"['$945 - $1,380']"
Cedar at the Branch,"['$1,720 - $4,715']"
Centerpoint Apartments,"['$1,045 - $1,563']"
Central Park,"['$1,093 - $2,255']"
Century Lake Highlands,"['$1,396 - $3,584']"
Century Medical District,"['$1,134 - $4,115']"
Champions of North Dallas Affordable Apart...,"['$1,183 - $1,554']"
Charming 3 bedroom home in Denton!,"['$1,950 ' '$2,075 ']"
Chatham Court and Reflections,"['$1,019 - $1,565']"
Chimney Hill,"['$1,332 - $2,930' '$1,035 - $1,930']"
Churchill on the Park,"['$1,189 - $2,249' '$1,470 - $2,242']"
Cirque,"['$1,349 - $1,405']"
Citadel,"['$1,626 - $2,045']"
City Limits Apartments,"['$930 - $1,360']"
Cityplace Heights,"['$1,490 - $2,905']"
Claremont,"['$925 - $1,250']"
Clark Ridge Canyon,"['$1,240 ']"
Claro Court,"['$800 - $1,200']"
Cole Place,"['$800 - $1,250']"
Colonnade at Willow Bend,"['$1,534 - $2,357']"
Communities of Bent Tree,"['$837 - $2,630']"
Concrete Jungle Properties-DALLAS,"['$1,150 - $1,995']"
Concrete Jungle Properties-DENTON,"['$850 - $1,350']"
Cooper Denton,"['$1,380 - $2,050']"
Cornell Midtown,"['$1,519 - $5,256']"
Cornerstone Apartments,"['$850 - $1,050']"
Coronado Apartments,"['$3,275 - $3,800' '$950 - $1,525']"
Coronado Villas,"['$720 - $1,700']"
Cortland Farmers Market,"['$1,647 - $3,563']"
Cortland La Villita,"['$1,524 - $2,569']"
Cortland M-Line,"['$1,724 - $5,394' '$1,549 - $2,848' '?']"
Cortland MacArthur,"['$1,462 - $2,677']"
Cortland North Dallas,"['$1,131 - $2,168']"
Cortland Oak Lawn,"['$1,417 - $2,121' '$1,185']"
Cortland Waters Edge,"['$1,768 - $3,093']"
Cortland at West Village,"['$1,069 - $1,350' '$1,423 - $3,886']"
Cottonwood Dallas,"['$925 - $1,560']"
Country Park Apartment Homes,"['$931 - $1,264']"
Courthouse Apartments,"['$1,200 - $2,300']"
Courts of Bent Tree,"['$1,740 - $2,800']"
Covington Pointe Apartments,"['$1,370 - $1,730']"
Crest at Las Colinas Station,"['$1,707 - $6,193']"
Crest at Park Central,"['$1,509 - $2,571' '$935 - $1,595' '$1,304 - $2,930']"
Cross Creek Apartments,"['$970 - $2,613']"
Crossings on Marsh Apartments,"['$1,094 - $1,524']"
Cutters Point Apartment Homes,"['$1,217 - $2,838']"
Cypress at Trinity Groves,"['$1,214 - $3,196']"
Dallas North Park,"['?' '$1,352 - $2,135']"
Dallas Urby,"['$1,978 - $4,175' '$780 - $1,128' '$1,978 - $4,175']"
Davenport Apartments,"['$1,000 - $2,348']"
Deep Ellum Lofts,"['$2,070 - $6,296' '$1,100 - $1,150' '$1,433 - $2,772']"
Del Rey Village,"['$1,075 - $1,780']"
Delante Apartments,"['$1,605 - $2,810']"
Discovery Park Apartments,"['$1,415 - $2,270']"
District at Greenville Apartments,"['$1,310 - $3,666']"
Domain at Midtown Park,"['$1,324 - $4,392']"
Dominion at Mercer Crossing,"['$1,374 - $2,654']"
Doverhouse,"['$1,750 ']"
Dunhill Apartments,"['$1,399 - $2,486']"
Eagle Creek Apartments,"['$990 - $1,485']"
East End Lofts at the Railyard,"['$1,350 - $2,505']"
East Quarter Residences,"['$2,005 - $19,400' '?' '$2,005 - $19,400']"
Eastbridge Apartments,"['$1,712 - $3,614']"
Eastgrove,"['$1,404 - $2,682' '$817 - $1,476']"
Eastline Residences,"['$1,997 - $6,144']"
Eastshore on Lake Carolyn,"['$1,465 - $4,180']"
Echelon at Reverchon Bluffs,"['$3,446 - $4,454']"
Echo @ Midtown,"['$1,362 - $2,140']"
Echo Apartments,"['$815 - $1,595' '$1,399 - $4,370']"
Echo Park,"['$996 - $1,093']"
Eighteen 51 Brinker,"['$1,499 - $2,499']"
Elan Denton,"['$1,601 - $2,420']"
Elan at Bluffview,"['$1,271 - $2,950']"
Ele,"['$1,524 - $4,105']"
Eleven10 at Farmers Market,"['$1,415 - $2,775' '$1,465 - $3,155' '$1,465 - $3,155' '$1,425 - $2,785']"
Eleven600 Apartments,"['$1,053 - $1,383']"
Emerald Lane,"['$1,050 ']"
Enclave At Prestonwood,"['$925 - $1,937']"
Epic Apartments,"['$1,275 - $1,735']"
Epoch on Eagle,"['$1,250 - $2,295']"
Essence North Dallas,"['$1,181 - $2,254']"
Essence on Maple,"['$1,600 - $2,634']"
Estancia Estates,"['$906 - $1,630']"
Estancia Hills,"['$1,500 - $1,575']"
Estancia Townhomes,"['$2,279 - $4,157']"
Estates On Frankford,"['$1,454 - $2,556']"
Estrella at Kiest,"['$1,423 - $3,886']"
Eureka Village - Free Internet & Cable,"['$1,100 - $1,400']"
Evaline,"['$1,415 - $2,420']"
Everra Midtown Park,"['$1,480 - $3,523']"
Everwood Apartments,"['$1,081 - $1,734']"
Evoke,"['$1,210 - $3,020']"
Exchange 7272,"['$930 - $1,645']"
Experience Dallas living at Village Oaks A...,"['$1,025 - $1,195']"
Factory Design District,"['$1,145 - $2,160']"
Fairways at Prestonwood,"['$1,350 - $2,311']"
Falls on Clearwood Apartments,"['$1,170 - $1,485']"
Fiori on Vitruvian Park®,"['$1,695 - $3,066']"
Fitzhugh Urban Flats,"['$1,810 - $2,930']"
Florence at the Harbor,"['$1,335 - $4,000']"
Forest Hills,"['$1,084 - $1,507']"
Forest Ridge,"['$1,406 - $3,167' '$1,305 - $1,780' '$929 - $1,570']"
Forty200,"['$850 - $1,343']"
Forum at Denton Station,"['$599 - $1,195']"
Fountain Pointe Las Colinas,"['$1,601 - $4,562']"
Fountains of Denton,"['$1,295 - $3,003']"
Fountains of Rosemeade,"['$1,037 - $1,840']"
Fox Hills Apartments,"['$894 - $2,064']"
Frankford Flats Apartments,"['$1,099 - $1,740']"
GREEN HOUSE FLATS,"['$699 - $1,505' '$1,570 - $3,737' '$1,483 - $2,772' '$1,715 - $3,780'
 '$699 - $1,505']"
Gables Katy Trail,"['$1,389 - $2,753']"
Gables McKinney Ave,"['$1,733 - $9,233']"
Gables Mirabella,"['$1,414 - $2,779' '$1,441 - $3,742']"
Gables Park 17,"['$2,051 - $10,212']"
Gables Republic Tower,"['$1,570 - $8,502']"
Gables Turtle Creek Cityplace,"['$1,720 - $5,265']"
Gables Villa Rosa,"['$1,737 - $4,630']"
Gables Water Street,"['$1,816 - $5,299']"
Galleries at Park Lane Apartment Homes,['Call for Rent']
Gallery At Turtle Creek,"['$1,509 - $2,945']"
Gardens of Denton,"['$1,207 - $1,939']"
Gardens of Valley Ranch,"['$1,046 - $2,136']"
Gardens on Walnut RGLLC,"['$765 - $1,250']"
Gateway East at the Arts District,"['?' '$1,350 - $3,700']"
Gateway(old),"['$1,109 ']"
Glass House by Windsor,"['$2,260 - $8,181']"
Glendale Oaks Apartments,"['$975 - $1,395']"
Good Haven Apartments,"['$1,050 - $1,210']"
Gramercy on the Park,"['$1,787 - $4,078' '$1,336 - $2,436' '$1,235 - $3,120']"
Grand Estates @ Kessler Park,"['$1,170 - $1,949']"
Grand Reserve,"['$2,105 - $3,519']"
Grand Seasons Apartment Homes,"['$1,200 - $2,663']"
Grant Valley Ranch,"['$1,530 - $2,555']"
Greenway Patio,"['$1,750 - $1,810']"
HAMPTON PLAZA AT KESSLER PARK,['?']
HAVEN AT LAKE HIGHLANDS,"['$1,526 - $4,141']"
Halston,"['$1,404 - $2,682' '$1,235 - $2,650' '$970 - $1,660']"
Halston on Frankford,"['$1,483 - $2,653']"
Harvest Lofts,"['$1,548 - $3,138']"
Haskell Flats,['Call for Rent']
Haus 2828,"['$2,120' '$1,268 - $2,719' '$1,268 - $2,719' '$2,120 ']"
Heatherstone,"['$1,013 - $1,714']"
Hickory Creek Ranch,"['$1,442 - $2,893']"
Hidden Bend Townhomes,"['$1,359 - $2,048']"
Highlands of Valley Ranch,"['$1,378 - $2,418']"
Hillburn Hills Apartments,"['$1,220 - $1,600']"
Holden Green Townhomes and Garden Homes,"['$1,470 - $2,242' '$855 - $1,625']"
Holiday Hills,"['$1,069 - $1,515']"
Holiday Hills II,['Call for Rent']
Holly Hills,"['$1,155 - $1,975']"
Holly Tree,"['$850 - $1,050']"
Hue at Cityplace,"['$1,557 - $3,589']"
Hunter's Creek Apartments,"['$1,495 - $2,770']"
Hunters Hill,"['$1,174 - $2,001']"
Hyde Park at Valley Ranch,"['$1,155 - $2,145']"
ICON at Ross,"['$1,340 - $3,195']"
IMT Lakeshore Lofts,"['$1,625 - $2,480']"
IMT Prestonwood,"['$1,265 - $2,190']"
Iconic Village,"['$660 - $1,085']"
Indie Deep Ellum,"['$1,395 - $3,770']"
Infinity on the Point,"['$1,315 - $1,924']"
Interurban Building,"['$1,495 - $3,550']"
Inwood On The Park,"['$1,270 - $1,875']"
Inwood Station Apartments,"['$1,455 - $3,845']"
Iron Landings,"['$895 - $1,369']"
Ivy Urban Living,"['$979 - $2,403' '$1,099 - $2,433']"
JEFFERSON LUMEN,"['$1,482 - $3,706']"
Jefferson Innova,"['$1,516 - $3,560']"
Jewel on Landmark,"['$1,535 - $2,435' '$2,996 - $10,241' '$1,535 - $2,440']"
Kensington Square Apartments,"['$1,245 - $2,545']"
Keystone Falls Apartments,"['$1,365 - $3,370']"
L2 Uptown,"['$1,559 - $4,030']"
LANDMARK,"['$1,735 - $3,090']"
LE PARC,"['?' '$815 - $1,595']"
LTD West Commerce,"['$1,375 - $4,031']"
LTV Tower Apartments,"['$1,620 - $3,740']"
La Cima Newport Condos,"['$1,474 - $3,034']"
La Costa Villas,"['$1,465 - $3,155' '$1,866 - $5,723' '$1,866 - $5,723' '$1,465 - $3,155']"
La Mirada,"['$1,295 - $2,206']"
La Prada Place Apartments,"['$950 - $1,125']"
La Valencia,"['$1,219 - $2,079']"
La Villita Lakeside and Landings,"['$1,478 - $6,212']"
LaSalle,"['$1,518 - $2,621']"
Lakeside Apartments,"['$1,065 - $2,678']"
Lakeside Urban Center,"['$1,512 - $2,855']"
Lakeview Apartments,"['$1,798 - $2,938']"
Lakeview At Parkside,"['$1,052 - $2,715']"
Lakeview Pointe - 55+ Community,"['$984 - $1,256']"
Lakewood Flats Apartments,"['$1,318 - $2,596']"
Lakewood Manor,"['$1,499 - $1,750']"
Lakewood on the Trail,"['$910 - $1,395' '$1,325 - $2,390']"
Lana Apartments,"['$1,024 - $1,454']"
Lancaster Urban Village Apartments,"['$1,000 - $3,069']"
Landings at Bluff Ridge Apartments,"['$1,325 - $2,390' '$1,063 - $1,230']"
Landmark at Gleneagles Apartment Homes,"['$1,125 - $3,672']"
Larq Henderson,"['$1,410 - $4,110']"
Las Lomas Apartment Homes,"['$915 - $1,255' '$1,048 - $1,560']"
Lavera at Lake Highlands,"['$1,374 - $2,206' '$1,238 - $2,206']"
Layers Galleria,"['$1,530 - $2,355' '$1,277 - $2,806' '$2,005 - $19,400' '$1,530 - $2,355']"
Lennox West Village,"['$1,147 - $5,325']"
Lexington Apartment Homes,"['$1,358 - $2,659']"
Links on Gaston,"['$1,100 - $1,350']"
Live Oak at the Branch,"['$1,520 - $4,045']"
Locale,"['$1,350 - $3,692' '$1,417 - $2,121']"
Lochwood Manor,"['$1,049 - $1,600']"
Loft and Row,"['$1,448 - $7,850']"
Loft on Louise,"['$1,045 ']"
Lofts at Mockingbird Station Apartments,"['$1,230 - $3,120' '$1,300 - $4,895' '$2,217 - $5,285']"
London Park,"['$1,144 - $1,863']"
London Square Apartments,"['$935 - $1,075']"
Lone Star Apartments,"['$900 - $1,150']"
Longhorn Cove Townhomes,"['$1,835 - $1,955']"
Los Altos Trinity Green,"['$1,267 - $5,797']"
Lucia Apartments,"['$1,286 - $1,589']"
Luna Blanca,"['$959 - $1,279']"
Luxe at Mercer Crossing,"['$1,547 - $4,895']"
Luxia Gallery House North,"['$1,304 - $3,229']"
Luxia Gallery House South,"['$1,304 - $3,264' '$2,301 - $6,852' '$1,304 - $3,264']"
Luxia Midtown Park,"['$1,318 - $5,162']"
Luxia Swiss Ave,"['$1,421 - $3,865']"
MAA Addison Circle,"['$1,110 - $4,465']"
MAA Bella Casita,"['$1,543 - $3,813']"
MAA Gallery,"['$3,415 - $4,875']"
MAA Heights,"['$1,520 - $4,455']"
MAA Highlands North,"['$1,143 - $4,323']"
MAA Katy Trail,"['$1,745 - $4,450']"
MAA Las Colinas,"['$1,423 - $4,408']"
MAA Market Center,"['$1,403 - $5,198']"
MAA McKinney Avenue,"['$1,400 - $4,910']"
MAA McKinney Avenue II,"['$1,285 - $3,845']"
MAA Medical District,"['$1,388 - $3,500']"
